country,region,tax_rate,vat_rate
Ireland,Waterford,0.00,0.23
US,CA,0.0825,0.00
US,CA,0.0825,0.00
US,NY,0.0400,0.00
US,TX,0.0625,0.00
US,FL,0.0600,0.00
US,WA,0.0650,0.00
US,IL,0.0625,0.00
US,PA,0.0600,0.00
US,OH,0.0575,0.00
US,GA,0.0400,0.00
US,NC,0.0450,0.00
US,MI,0.0600,0.00
US,CO,0.0290,0.00
US,AZ,0.0725,0.00
US,VA,0.0575,0.00
US,MA,0.0625,0.00
US,MN,0.0725,0.00
Germany,Bavaria,0.00,0.19
Germany,Berlin,0.00,0.19
Germany,NRW,0.00,0.19
Germany,Hamburg,0.00,0.19
France,Ile-de-France,0.00,0.20
France,Provence,0.00,0.20
France,Lyon,0.00,0.20
UK,England,0.00,0.20
UK,Scotland,0.00,0.20
UK,Wales,0.00,0.20
Spain,Catalonia,0.00,0.21
Spain,Madrid,0.00,0.21
Italy,Lombardy,0.00,0.22
Italy,Rome,0.00,0.22
Netherlands,North Holland,0.00,0.21
Canada,Ontario,0.00,0.13
Canada,BC,0.00,0.12
Canada,Quebec,0.00,0.15
Australia,NSW,0.00,0.10
Australia,VIC,0.00,0.10
Australia,Queensland,0.00,0.10
Japan,Tokyo,0.00,0.10
Japan,Osaka,0.00,0.10
Japan,Kyoto,0.00,0.10
China,Beijing,0.00,0.13
China,Shanghai,0.00,0.13
China,Guangdong,0.00,0.13
India,Delhi,0.00,0.18
India,Maharashtra,0.00,0.18
Brazil,Sao Paulo,0.00,0.18
Brazil,Rio de Janeiro,0.00,0.18
Mexico,Mexico City,0.00,0.16
Singapore,Central,0.00,0.08
South Korea,Seoul,0.00,0.10
US,Nevada,0.0685,0.00
US,Oregon,0.0000,0.00
US,Montana,0.0000,0.00
US,Delaware,0.0000,0.00
US,Alaska,0.0000,0.00
Germany,Dresden,0.00,0.19
France,Nice,0.00,0.20
UK,Manchester,0.00,0.20
Spain,Seville,0.00,0.21
Italy,Naples,0.00,0.22
Canada,Vancouver,0.00,0.12
Australia,Perth,0.00,0.10
Japan,Sapporo,0.00,0.10
China,Chengdu,0.00,0.13
India,Kolkata,0.00,0.18
Brazil,Recife,0.00,0.18
Mexico,Merida,0.00,0.16
Singapore,Clementi,0.00,0.08
South Korea,Pohang,0.00,0.10
US,Houston,0.0825,0.00
US,Phoenix,0.0725,0.00
US,Philadelphia,0.0600,0.00
US,SanAntonio,0.0625,0.00
US,SanDiego,0.0775,0.00
US,Dallas,0.0625,0.00
US,SanJose,0.0825,0.00
US,Austin,0.0625,0.00
US,Jacksonville,0.0600,0.00
US,FortWorth,0.0625,0.00
Germany,Munich,0.00,0.19
Germany,Hamburg,0.00,0.19
Germany,Frankfurt,0.00,0.19
Germany,Cologne,0.00,0.19
Germany,Stuttgart,0.00,0.19
Germany,Dusseldorf,0.00,0.19
Germany,Dortmund,0.00,0.19
Germany,Essen,0.00,0.19
Germany,Leipzig,0.00,0.19
Germany,Aachen,0.00,0.19
France,Paris,0.00,0.20
France,Marseille,0.00,0.20
France,Lyon,0.00,0.20
France,Toulouse,0.00,0.20
France,Nice,0.00,0.20
France,Nantes,0.00,0.20
France,Strasbourg,0.00,0.20
France,Montpellier,0.00,0.20
France,Bordeaux,0.00,0.20
France,Lille,0.00,0.20
UK,London,0.00,0.20
UK,Birmingham,0.00,0.20
UK,Leeds,0.00,0.20
UK,Glasgow,0.00,0.20
UK,SheffieldUK,0.00,0.20
UK,Edinburgh,0.00,0.20
UK,Bristol,0.00,0.20
UK,Manchester,0.00,0.20
UK,Liverpool,0.00,0.20
UK,Newcastle,0.00,0.20
Spain,Barcelona,0.00,0.21
Spain,Madrid,0.00,0.21
Spain,Valencia,0.00,0.21
Spain,Seville,0.00,0.21
Spain,Zaragoza,0.00,0.21
Spain,Malaga,0.00,0.21
Spain,Bilbao,0.00,0.21
Spain,Palma,0.00,0.21
Spain,Alicante,0.00,0.21
Spain,Cordoba,0.00,0.21
Italy,Rome,0.00,0.22
Italy,Milan,0.00,0.22
Italy,Naples,0.00,0.22
Italy,Turin,0.00,0.22
Italy,Palermo,0.00,0.22
Italy,Genoa,0.00,0.22
Italy,Bologna,0.00,0.22
Italy,Florence,0.00,0.22
Italy,Venice,0.00,0.22
Italy,Verona,0.00,0.22
Canada,Montreal,0.00,0.15
Canada,Toronto,0.00,0.13
Canada,Vancouver,0.00,0.12
Canada,Calgary,0.00,0.05
Canada,Ottawa,0.00,0.13
Canada,Winnipeg,0.00,0.13
Canada,Edmonton,0.00,0.05
Canada,Quebec,0.00,0.15
Canada,Hamilton,0.00,0.13
Canada,Kitchener,0.00,0.13
Australia,Sydney,0.00,0.10
Australia,Melbourne,0.00,0.10
Australia,Brisbane,0.00,0.10
Australia,Perth,0.00,0.10
Australia,Adelaide,0.00,0.10
Australia,Canberra,0.00,0.10
Australia,Darwin,0.00,0.10
Australia,Hobart,0.00,0.10
Australia,Gold Coast,0.00,0.10
Australia,Newcastle,0.00,0.10
Japan,Tokyo,0.00,0.10
Japan,Yokohama,0.00,0.10
Japan,Osaka,0.00,0.10
Japan,Kobe,0.00,0.10
Japan,Kyoto,0.00,0.10
Japan,Kawasaki,0.00,0.10
Japan,Saitama,0.00,0.10
Japan,Hiroshima,0.00,0.10
Japan,Nagoya,0.00,0.10
Japan,Fukuoka,0.00,0.10
China,Beijing,0.00,0.13
China,Shanghai,0.00,0.13
China,Guangzhou,0.00,0.13
China,Shenzhen,0.00,0.13
China,Chongqing,0.00,0.13
China,Xi'an,0.00,0.13
China,Chengdu,0.00,0.13
China,Hangzhou,0.00,0.13
China,Wuhan,0.00,0.13
China,Nanjing,0.00,0.13
India,Delhi,0.00,0.18
India,Mumbai,0.00,0.18
India,Bangalore,0.00,0.18
India,Hyderabad,0.00,0.18
India,Chennai,0.00,0.18
India,Kolkata,0.00,0.18
India,Pune,0.00,0.18
India,Ahmedabad,0.00,0.18
India,Surat,0.00,0.18
India,Jaipur,0.00,0.18
Brazil,SaoPaulo,0.00,0.18
Brazil,RiodeJaneiro,0.00,0.18
Brazil,Salvador,0.00,0.18
Brazil,Brasília,0.00,0.18
Brazil,FortalezaBR,0.00,0.18
Brazil,Belo Horizonte,0.00,0.18
Brazil,Manaus,0.00,0.18
Brazil,Curitiba,0.00,0.18
Brazil,Recife,0.00,0.18
Brazil,Porto Alegre,0.00,0.18
Mexico,MexicoCity,0.00,0.16
Mexico,Guadalajara,0.00,0.16
Mexico,Monterrey,0.00,0.16
Mexico,Puebla,0.00,0.16
Mexico,Toluca,0.00,0.16
Mexico,CancunMX,0.00,0.16
Mexico,Merida,0.00,0.16
Mexico,Leon,0.00,0.16
Mexico,Tijuana,0.00,0.16
Mexico,Culiacan,0.00,0.16
Singapore,Central,0.00,0.08
Singapore,East,0.00,0.08
Singapore,West,0.00,0.08
Singapore,North,0.00,0.08
Singapore,South,0.00,0.08
Singapore,Jurong,0.00,0.08
Singapore,Clementi,0.00,0.08
Singapore,Bishan,0.00,0.08
Singapore,Serangoon,0.00,0.08
Singapore,Bukit Merah,0.00,0.08
SouthKorea,Seoul,0.00,0.10
SouthKorea,Busan,0.00,0.10
SouthKorea,Incheon,0.00,0.10
SouthKorea,Daegu,0.00,0.10
SouthKorea,Daejeon,0.00,0.10
SouthKorea,Gwangju,0.00,0.10
SouthKorea,Ulsan,0.00,0.10
SouthKorea,Suwon,0.00,0.10
SouthKorea,Goyang,0.00,0.10
SouthKorea,Seongnam,0.00,0.10
Netherlands,Amsterdam,0.00,0.21
Netherlands,Rotterdam,0.00,0.21
Netherlands,The Hague,0.00,0.21
Netherlands,Utrecht,0.00,0.21
Netherlands,Eindhoven,0.00,0.21
Netherlands,Groningen,0.00,0.21
Netherlands,Maastricht,0.00,0.21
Netherlands,Arnhem,0.00,0.21
Netherlands,Haarlem,0.00,0.21
Netherlands,Almere,0.00,0.21
Belgium,Brussels,0.00,0.21
Belgium,Antwerp,0.00,0.21
Belgium,Ghent,0.00,0.21
Belgium,Bruges,0.00,0.21
Belgium,Liege,0.00,0.21
Austria,Vienna,0.00,0.20
Austria,Graz,0.00,0.20
Austria,Salzburg,0.00,0.20
Austria,Innsbruck,0.00,0.20
Austria,Linz,0.00,0.20
Poland,Warsaw,0.00,0.23
Poland,Krakow,0.00,0.23
Poland,Wroclaw,0.00,0.23
Poland,Poznan,0.00,0.23
Poland,Gdansk,0.00,0.23
Portugal,Lisbon,0.00,0.23
Portugal,Porto,0.00,0.23
Portugal,Covilha,0.00,0.23
Portugal,Evora,0.00,0.23
Portugal,Faro,0.00,0.23
Greece,Athens,0.00,0.24
Greece,Thessaloniki,0.00,0.24
Greece,Patras,0.00,0.24
Greece,Heraklion,0.00,0.24
Greece,Larissa,0.00,0.24
Czech,Prague,0.00,0.21
Czech,Brno,0.00,0.21
Czech,Ostrava,0.00,0.21
Czech,Plzen,0.00,0.21
Czech,Olomouc,0.00,0.21
Hungary,Budapest,0.00,0.27
Hungary,Debrecen,0.00,0.27
Hungary,Szeged,0.00,0.27
Hungary,Miskolc,0.00,0.27
Hungary,Pecs,0.00,0.27
Romania,Bucharest,0.00,0.19
Romania,Cluj,0.00,0.19
Romania,Timisoara,0.00,0.19
Romania,Iasi,0.00,0.19
Romania,Constanta,0.00,0.19
Croatia,Zagreb,0.00,0.25
Croatia,Split,0.00,0.25
Croatia,Rijeka,0.00,0.25
Croatia,Osijek,0.00,0.25
Croatia,Zadar,0.00,0.25
Serbia,Belgrade,0.00,0.20
Serbia,Nis,0.00,0.20
Serbia,Novi Sad,0.00,0.20
Serbia,Niš,0.00,0.20
Serbia,Kragujevac,0.00,0.20
Bulgaria,Sofia,0.00,0.20
Bulgaria,Plovdiv,0.00,0.20
Bulgaria,Varna,0.00,0.20
Bulgaria,Burgas,0.00,0.20
Bulgaria,Ruse,0.00,0.20
Slovakia,Bratislava,0.00,0.20
Slovakia,Kosice,0.00,0.20
Slovakia,Presov,0.00,0.20
Slovakia,Zilina,0.00,0.20
Slovakia,Banská Bystrica,0.00,0.20
Slovenia,Ljubljana,0.00,0.22
Slovenia,Maribor,0.00,0.22
Slovenia,Koper,0.00,0.22
Slovenia,Celje,0.00,0.22
Slovenia,Novo Mesto,0.00,0.22
Latvia,Riga,0.00,0.21
Latvia,Daugavpils,0.00,0.21
Latvia,Liepaja,0.00,0.21
Latvia,Jelgava,0.00,0.21
Latvia,Ventspils,0.00,0.21
Lithuania,Vilnius,0.00,0.21
Lithuania,Kaunas,0.00,0.21
Lithuania,Klaipeda,0.00,0.21
Lithuania,Siauliai,0.00,0.21
Lithuania,Panevezys,0.00,0.21
Estonia,Tallinn,0.00,0.20
Estonia,Tartu,0.00,0.20
Estonia,Narva,0.00,0.20
Estonia,Kohtla-Järve,0.00,0.20
Estonia,Pärnu,0.00,0.20
Denmark,Copenhagen,0.00,0.25
Denmark,Aarhus,0.00,0.25
Denmark,Odense,0.00,0.25
Denmark,Aalborg,0.00,0.25
Denmark,Esbjerg,0.00,0.25
Sweden,Stockholm,0.00,0.25
Sweden,Gothenburg,0.00,0.25
Sweden,Malmö,0.00,0.25
Sweden,Uppsala,0.00,0.25
Sweden,Västerås,0.00,0.25
Norway,Oslo,0.00,0.25
Norway,Bergen,0.00,0.25
Norway,Stavanger,0.00,0.25
Norway,Trondheim,0.00,0.25
Norway,Drammen,0.00,0.25
Finland,Helsinki,0.00,0.24
Finland,Espoo,0.00,0.24
Finland,Tampere,0.00,0.24
Finland,Turku,0.00,0.24
Finland,Oulu,0.00,0.24
Ireland,Dublin,0.00,0.23
Ireland,Cork,0.00,0.23
Ireland,Limerick,0.00,0.23
Ireland,Galway,0.00,0.23
Ireland,Waterford,0.00,0.23
US,CA,0.0825,0.00
US,CA,0.0825,0.00
US,NY,0.0400,0.00
US,TX,0.0625,0.00
US,FL,0.0600,0.00
US,WA,0.0650,0.00
US,IL,0.0625,0.00
US,PA,0.0600,0.00
US,OH,0.0575,0.00
US,GA,0.0400,0.00
US,NC,0.0450,0.00
US,MI,0.0600,0.00
US,CO,0.0290,0.00
US,AZ,0.0725,0.00
US,VA,0.0575,0.00
US,MA,0.0625,0.00
US,MN,0.0725,0.00
Germany,Bavaria,0.00,0.19
Germany,Berlin,0.00,0.19
Germany,NRW,0.00,0.19
Germany,Hamburg,0.00,0.19
France,Ile-de-France,0.00,0.20
France,Provence,0.00,0.20
France,Lyon,0.00,0.20
UK,England,0.00,0.20
UK,Scotland,0.00,0.20
UK,Wales,0.00,0.20
Spain,Catalonia,0.00,0.21
Spain,Madrid,0.00,0.21
Italy,Lombardy,0.00,0.22
Italy,Rome,0.00,0.22
Netherlands,North Holland,0.00,0.21
Canada,Ontario,0.00,0.13
Canada,BC,0.00,0.12
Canada,Quebec,0.00,0.15
Australia,NSW,0.00,0.10
Australia,VIC,0.00,0.10
Australia,Queensland,0.00,0.10
Japan,Tokyo,0.00,0.10
Japan,Osaka,0.00,0.10
Japan,Kyoto,0.00,0.10
China,Beijing,0.00,0.13
China,Shanghai,0.00,0.13
China,Guangdong,0.00,0.13
India,Delhi,0.00,0.18
India,Maharashtra,0.00,0.18
Brazil,Sao Paulo,0.00,0.18
Brazil,Rio de Janeiro,0.00,0.18
Mexico,Mexico City,0.00,0.16
Singapore,Central,0.00,0.08
South Korea,Seoul,0.00,0.10
US,Nevada,0.0685,0.00
US,Oregon,0.0000,0.00
US,Montana,0.0000,0.00
US,Delaware,0.0000,0.00
US,Alaska,0.0000,0.00
Germany,Dresden,0.00,0.19
France,Nice,0.00,0.20
UK,Manchester,0.00,0.20
Spain,Seville,0.00,0.21
Italy,Naples,0.00,0.22
Canada,Vancouver,0.00,0.12
Australia,Perth,0.00,0.10
Japan,Sapporo,0.00,0.10
China,Chengdu,0.00,0.13
India,Kolkata,0.00,0.18
Brazil,Recife,0.00,0.18
Mexico,Merida,0.00,0.16
Singapore,Clementi,0.00,0.08
South Korea,Pohang,0.00,0.10
US,Houston,0.0825,0.00
US,Phoenix,0.0725,0.00
US,Philadelphia,0.0600,0.00
US,SanAntonio,0.0625,0.00
US,SanDiego,0.0775,0.00
US,Dallas,0.0625,0.00
US,SanJose,0.0825,0.00
US,Austin,0.0625,0.00
US,Jacksonville,0.0600,0.00
US,FortWorth,0.0625,0.00
Germany,Munich,0.00,0.19
Germany,Hamburg,0.00,0.19
Germany,Frankfurt,0.00,0.19
Germany,Cologne,0.00,0.19
Germany,Stuttgart,0.00,0.19
Germany,Dusseldorf,0.00,0.19
Germany,Dortmund,0.00,0.19
Germany,Essen,0.00,0.19
Germany,Leipzig,0.00,0.19
Germany,Aachen,0.00,0.19
France,Paris,0.00,0.20
France,Marseille,0.00,0.20
France,Lyon,0.00,0.20
France,Toulouse,0.00,0.20
France,Nice,0.00,0.20
France,Nantes,0.00,0.20
France,Strasbourg,0.00,0.20
France,Montpellier,0.00,0.20
France,Bordeaux,0.00,0.20
France,Lille,0.00,0.20
UK,London,0.00,0.20
UK,Birmingham,0.00,0.20
UK,Leeds,0.00,0.20
UK,Glasgow,0.00,0.20
UK,SheffieldUK,0.00,0.20
UK,Edinburgh,0.00,0.20
UK,Bristol,0.00,0.20
UK,Manchester,0.00,0.20
UK,Liverpool,0.00,0.20
UK,Newcastle,0.00,0.20
Spain,Barcelona,0.00,0.21
Spain,Madrid,0.00,0.21
Spain,Valencia,0.00,0.21
Spain,Seville,0.00,0.21
Spain,Zaragoza,0.00,0.21
Spain,Malaga,0.00,0.21
Spain,Bilbao,0.00,0.21
Spain,Palma,0.00,0.21
Spain,Alicante,0.00,0.21
Spain,Cordoba,0.00,0.21
Italy,Rome,0.00,0.22
Italy,Milan,0.00,0.22
Italy,Naples,0.00,0.22
Italy,Turin,0.00,0.22
Italy,Palermo,0.00,0.22
Italy,Genoa,0.00,0.22
Italy,Bologna,0.00,0.22
Italy,Florence,0.00,0.22
Italy,Venice,0.00,0.22
Italy,Verona,0.00,0.22
Canada,Montreal,0.00,0.15
Canada,Toronto,0.00,0.13
Canada,Vancouver,0.00,0.12
Canada,Calgary,0.00,0.05
Canada,Ottawa,0.00,0.13
Canada,Winnipeg,0.00,0.13
Canada,Edmonton,0.00,0.05
Canada,Quebec,0.00,0.15
Canada,Hamilton,0.00,0.13
Canada,Kitchener,0.00,0.13
Australia,Sydney,0.00,0.10
Australia,Melbourne,0.00,0.10
Australia,Brisbane,0.00,0.10
Australia,Perth,0.00,0.10
Australia,Adelaide,0.00,0.10
Australia,Canberra,0.00,0.10
Australia,Darwin,0.00,0.10
Australia,Hobart,0.00,0.10
Australia,Gold Coast,0.00,0.10
Australia,Newcastle,0.00,0.10
Japan,Tokyo,0.00,0.10
Japan,Yokohama,0.00,0.10
Japan,Osaka,0.00,0.10
Japan,Kobe,0.00,0.10
Japan,Kyoto,0.00,0.10
Japan,Kawasaki,0.00,0.10
Japan,Saitama,0.00,0.10
Japan,Hiroshima,0.00,0.10
Japan,Nagoya,0.00,0.10
Japan,Fukuoka,0.00,0.10
China,Beijing,0.00,0.13
China,Shanghai,0.00,0.13
China,Guangzhou,0.00,0.13
China,Shenzhen,0.00,0.13
China,Chongqing,0.00,0.13
China,Xi'an,0.00,0.13
China,Chengdu,0.00,0.13
China,Hangzhou,0.00,0.13
China,Wuhan,0.00,0.13
China,Nanjing,0.00,0.13
India,Delhi,0.00,0.18
India,Mumbai,0.00,0.18
India,Bangalore,0.00,0.18
India,Hyderabad,0.00,0.18
India,Chennai,0.00,0.18
India,Kolkata,0.00,0.18
India,Pune,0.00,0.18
India,Ahmedabad,0.00,0.18
India,Surat,0.00,0.18
India,Jaipur,0.00,0.18
Brazil,SaoPaulo,0.00,0.18
Brazil,RiodeJaneiro,0.00,0.18
Brazil,Salvador,0.00,0.18
Brazil,Brasília,0.00,0.18
Brazil,FortalezaBR,0.00,0.18
Brazil,Belo Horizonte,0.00,0.18
Brazil,Manaus,0.00,0.18
Brazil,Curitiba,0.00,0.18
Brazil,Recife,0.00,0.18
Brazil,Porto Alegre,0.00,0.18
Mexico,MexicoCity,0.00,0.16
Mexico,Guadalajara,0.00,0.16
Mexico,Monterrey,0.00,0.16
Mexico,Puebla,0.00,0.16
Mexico,Toluca,0.00,0.16
Mexico,CancunMX,0.00,0.16
Mexico,Merida,0.00,0.16
Mexico,Leon,0.00,0.16
Mexico,Tijuana,0.00,0.16
Mexico,Culiacan,0.00,0.16
Singapore,Central,0.00,0.08
Singapore,East,0.00,0.08
Singapore,West,0.00,0.08
Singapore,North,0.00,0.08
Singapore,South,0.00,0.08
Singapore,Jurong,0.00,0.08
Singapore,Clementi,0.00,0.08
Singapore,Bishan,0.00,0.08
Singapore,Serangoon,0.00,0.08
Singapore,Bukit Merah,0.00,0.08
SouthKorea,Seoul,0.00,0.10
SouthKorea,Busan,0.00,0.10
SouthKorea,Incheon,0.00,0.10
SouthKorea,Daegu,0.00,0.10
SouthKorea,Daejeon,0.00,0.10
SouthKorea,Gwangju,0.00,0.10
SouthKorea,Ulsan,0.00,0.10
SouthKorea,Suwon,0.00,0.10
SouthKorea,Goyang,0.00,0.10
SouthKorea,Seongnam,0.00,0.10
Netherlands,Amsterdam,0.00,0.21
Netherlands,Rotterdam,0.00,0.21
Netherlands,The Hague,0.00,0.21
Netherlands,Utrecht,0.00,0.21
Netherlands,Eindhoven,0.00,0.21
Netherlands,Groningen,0.00,0.21
Netherlands,Maastricht,0.00,0.21
Netherlands,Arnhem,0.00,0.21
Netherlands,Haarlem,0.00,0.21
Netherlands,Almere,0.00,0.21
Belgium,Brussels,0.00,0.21
Belgium,Antwerp,0.00,0.21
Belgium,Ghent,0.00,0.21
Belgium,Bruges,0.00,0.21
Belgium,Liege,0.00,0.21
Austria,Vienna,0.00,0.20
Austria,Graz,0.00,0.20
Austria,Salzburg,0.00,0.20
Austria,Innsbruck,0.00,0.20
Austria,Linz,0.00,0.20
Poland,Warsaw,0.00,0.23
Poland,Krakow,0.00,0.23
Poland,Wroclaw,0.00,0.23
Poland,Poznan,0.00,0.23
Poland,Gdansk,0.00,0.23
Portugal,Lisbon,0.00,0.23
Portugal,Porto,0.00,0.23
Portugal,Covilha,0.00,0.23
Portugal,Evora,0.00,0.23
Portugal,Faro,0.00,0.23
Greece,Athens,0.00,0.24
Greece,Thessaloniki,0.00,0.24
Greece,Patras,0.00,0.24
Greece,Heraklion,0.00,0.24
Greece,Larissa,0.00,0.24
Czech,Prague,0.00,0.21
Czech,Brno,0.00,0.21
Czech,Ostrava,0.00,0.21
Czech,Plzen,0.00,0.21
Czech,Olomouc,0.00,0.21
Hungary,Budapest,0.00,0.27
Hungary,Debrecen,0.00,0.27
Hungary,Szeged,0.00,0.27
Hungary,Miskolc,0.00,0.27
Hungary,Pecs,0.00,0.27
Romania,Bucharest,0.00,0.19
Romania,Cluj,0.00,0.19
Romania,Timisoara,0.00,0.19
Romania,Iasi,0.00,0.19
Romania,Constanta,0.00,0.19
Croatia,Zagreb,0.00,0.25
Croatia,Split,0.00,0.25
Croatia,Rijeka,0.00,0.25
Croatia,Osijek,0.00,0.25
Croatia,Zadar,0.00,0.25
Serbia,Belgrade,0.00,0.20
Serbia,Nis,0.00,0.20
Serbia,Novi Sad,0.00,0.20
Serbia,Niš,0.00,0.20
Serbia,Kragujevac,0.00,0.20
Bulgaria,Sofia,0.00,0.20
Bulgaria,Plovdiv,0.00,0.20
Bulgaria,Varna,0.00,0.20
Bulgaria,Burgas,0.00,0.20
Bulgaria,Ruse,0.00,0.20
Slovakia,Bratislava,0.00,0.20
Slovakia,Kosice,0.00,0.20
Slovakia,Presov,0.00,0.20
Slovakia,Zilina,0.00,0.20
Slovakia,Banská Bystrica,0.00,0.20
Slovenia,Ljubljana,0.00,0.22
Slovenia,Maribor,0.00,0.22
Slovenia,Koper,0.00,0.22
Slovenia,Celje,0.00,0.22
Slovenia,Novo Mesto,0.00,0.22
Latvia,Riga,0.00,0.21
Latvia,Daugavpils,0.00,0.21
Latvia,Liepaja,0.00,0.21
Latvia,Jelgava,0.00,0.21
Latvia,Ventspils,0.00,0.21
Lithuania,Vilnius,0.00,0.21
Lithuania,Kaunas,0.00,0.21
Lithuania,Klaipeda,0.00,0.21
Lithuania,Siauliai,0.00,0.21
Lithuania,Panevezys,0.00,0.21
Estonia,Tallinn,0.00,0.20
Estonia,Tartu,0.00,0.20
Estonia,Narva,0.00,0.20
Estonia,Kohtla-Järve,0.00,0.20
Estonia,Pärnu,0.00,0.20
Denmark,Copenhagen,0.00,0.25
Denmark,Aarhus,0.00,0.25
Denmark,Odense,0.00,0.25
Denmark,Aalborg,0.00,0.25
Denmark,Esbjerg,0.00,0.25
Sweden,Stockholm,0.00,0.25
Sweden,Gothenburg,0.00,0.25
Sweden,Malmö,0.00,0.25
Sweden,Uppsala,0.00,0.25
Sweden,Västerås,0.00,0.25
Norway,Oslo,0.00,0.25
Norway,Bergen,0.00,0.25
Norway,Stavanger,0.00,0.25
Norway,Trondheim,0.00,0.25
Norway,Drammen,0.00,0.25
Finland,Helsinki,0.00,0.24
Finland,Espoo,0.00,0.24
Finland,Tampere,0.00,0.24
Finland,Turku,0.00,0.24
Finland,Oulu,0.00,0.24
Ireland,Dublin,0.00,0.23
Ireland,Cork,0.00,0.23
Ireland,Limerick,0.00,0.23
Ireland,Galway,0.00,0.23
